startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,locationLatitude,locationLongitude,distributionChannel,userLanguage,QID2_1,QID2_2,QID2_3,QID2_4,QID2_5,QID2_6,QID2_7,QID2_8,QID2_9,QID2_10,QID2_11,QID2_12,QID2_13,QID2_14,QID2_15,QID2_16,QID2_17,QID1_1,QID1_2,QID1_3,QID1_4,QID1_5,QID1_6,QID3_TEXT,QID5,QID3_TEXT_e9502589dc004e49b6439389Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,LocationLatitude - Location Latitude,LocationLongitude - Location Longitude,DistributionChannel - Distribution Channel,UserLanguage - User Language,Q2_1 - Please rate your impression of the robot on these scales: - Dislike:Like,Q2_2 - Please rate your impression of the robot on these scales: - Incompetent:Competent,Q2_3 - Please rate your impression of the robot on these scales: - Dead:Alive,Q2_4 - Please rate your impression of the robot on these scales: - Unfriendly:Friendly,Q2_5 - Please rate your impression of the robot on these scales: - Slow:Fast,Q2_6 - Please rate your impression of the robot on these scales: - Apathetic:Responsive,Q2_7 - Please rate your impression of the robot on these scales: - Ignorant:Knowledgeable,Q2_8 - Please rate your impression of the robot on these scales: - Stagnant:Lively,Q2_9 - Please rate your impression of the robot on these scales: - Unkind:Kind,Q2_10 - Please rate your impression of the robot on these scales: - Inert:Interactive,Q2_11 - Please rate your impression of the robot on these scales: - Irresponsible:Responsible,Q2_12 - Please rate your impression of the robot on these scales: - Mechanical:Organic,Q2_13 - Please rate your impression of the robot on these scales: - Unpleasant:Pleasant,Q2_14 - Please rate your impression of the robot on these scales: - Artificial:Lifelike,Q2_15 - Please rate your impression of the robot on these scales: - Unintelligent:Intelligent,Q2_16 - Please rate your impression of the robot on these scales: - Awful:Nice,Q2_17 - Please rate your impression of the robot on these scales: - Foolish:Sensible,Q1_1 - Please rate your agreement with these statements. - The robot played intelligently.,Q1_2 - Please rate your agreement with these statements. - The robot was responsive.,Q1_3 - Please rate your agreement with these statements. - The robot demonstrated game playing skill.,Q1_4 - Please rate your agreement with these statements. - The robot did not react to my actions.,Q1_5 - Please rate your agreement with these statements. - The robot had a tactic.,Q1_6 - Please rate your agreement with these statements. - The robot was unable to play defensively.,Q3 - What was the robot doing?,Q4 - What group were you? Please ask experimenter if you do not know.,Q3 - Topics
2017-12-09 12:33:34,2017-12-09 13:13:37,0,128.62.55.135,100,2402,1,2017-12-09 13:13:37,R_25vwKuKrV9fzAwg,,,,,30.296096801758,-97.73690032959,anonymous,EN,6,6,6,6,5,6,6,7,6,6,6,4,5,5,6,6,6,6,6,6,2,6,2,"It was showing me when it's thinking so I can predict when it'll be done thinking so I can place its block and thus also know when it'll be my turn. It also showed good sportsmanship by saying ""good game"" at the end which gave a sense that the game is friendly. ",1,Unknown
2017-12-10 11:06:40,2017-12-10 11:35:44,0,128.62.55.176,100,1743,1,2017-12-10 11:35:45,R_2rHO3irHUsV5Ncm,,,,,30.296096801758,-97.73690032959,anonymous,EN,6,4,4,5,3,4,4,5,5,5,4,2,6,3,5,6,4,4,6,5,2,5,5,The robot was observing my moves and then choosing how to respond. The robot would point to a location on the tic tac toe board indicating where he would like his red piece to be placed.,2,
2017-12-10 12:49:25,2017-12-10 13:09:57,0,128.62.55.176,100,1232,1,2017-12-10 13:09:58,R_DjcOQm7RqvExiXT,,,,,30.296096801758,-97.73690032959,anonymous,EN,6,5,4,6,3,5,4,6,4,5,4,3,5,3,4,6,5,6,6,6,2,5,4,moving while thinking,1,
2017-12-12 09:47:31,2017-12-12 10:09:35,0,128.62.53.53,100,1323,1,2017-12-12 10:09:35,R_21B9LspjLm5c72a,,,,,30.296096801758,-97.73690032959,anonymous,EN,6,6,5,7,3,7,5,5,7,5,6,2,5,2,6,7,6,6,5,7,2,5,6,"When it saw that I had a chance to win, it blocked my path each time. It knew how to play.",2,
2017-12-13 09:01:29,2017-12-13 09:47:44,0,128.62.56.75,100,2774,1,2017-12-13 09:47:46,R_roJBlUpB5PqLsml,,,,,30.296096801758,-97.73690032959,anonymous,EN,4,5,1,5,1,6,4,2,4,4,4,1,4,2,4,5,5,5,5,6,3,4,6,The robot was playing tic tac toe.,1,
2017-12-13 12:39:59,2017-12-13 12:53:09,0,128.62.56.75,100,789,1,2017-12-13 12:53:09,R_1G5W5DIe25NzcGJ,,,,,30.296096801758,-97.73690032959,anonymous,EN,7,5,5,7,1,3,5,3,7,6,5,1,6,1,5,7,5,5,6,5,1,5,5,Observing the move of the human player while thinking of it's next move that could lead to victory.,2,
2017-12-13 12:54:31,2017-12-13 13:11:42,0,128.62.56.75,100,1030,1,2017-12-13 13:11:42,R_1jPpULyi621pAaG,,,,,30.296096801758,-97.73690032959,anonymous,EN,5,7,5,5,3,6,7,5,5,6,5,3,5,3,6,5,6,7,6,7,1,3,1,Playing tic-tac-toe by pointing.,1,
2017-12-13 13:12:55,2017-12-13 13:47:33,0,128.62.56.75,100,2077,1,2017-12-13 13:47:33,R_3JsjAZqj0zu9MiJ,,,,,30.296096801758,-97.73690032959,anonymous,EN,3,3,3,2,1,2,2,1,4,2,4,2,3,2,3,5,5,6,2,5,6,5,1,Whenever I placed a block the robot would take some time to think (a larger amount of time than I would expect) and make some exaggerated hand movements to point out the robot's next move.,2,
2017-12-13 13:51:55,2017-12-13 14:22:47,0,128.62.56.75,100,1852,1,2017-12-13 14:22:48,R_vTReEAcGiEe71Sx,,,,,30.296096801758,-97.73690032959,anonymous,EN,7,7,3,7,5,4,7,5,5,6,5,1,7,4,4,7,5,7,7,7,1,6,2,The robot was picking moves to maximize its probability of winning the game. The robot thought really hard in early stages but responded faster as the game went on.,1,
2017-12-13 14:24:23,2017-12-13 14:37:04,0,128.62.56.75,100,761,1,2017-12-13 14:37:05,R_3JqNV1soOPW8ZU5,,,,,30.296096801758,-97.73690032959,anonymous,EN,5,6,3,5,3,3,5,3,5,3,6,2,5,2,6,5,6,5,5,5,2,4,2,"It seemed like the robot was mostly playing on the defensive.  However, I'm not sure if that was the tactic that it was going for from the beginning or if it merely a side effect of going second.",2,
2017-12-14 09:32:55,2017-12-14 10:12:17,0,128.62.56.75,100,2362,1,2017-12-14 10:12:18,R_1GPUwEFKBc0aHpO,,,,,30.296096801758,-97.73690032959,anonymous,EN,7,7,7,7,5,7,7,7,4,7,4,6,7,6,7,7,7,7,7,7,1,7,1,"The robot was playing the game of tic-tac-toe intelligently. I felt that it took every one of my moves into consideration to come up with a game plan. It also signalled to me with sound and gripper actions when it went into the thinking mode. I particularly liked the human-like behaviour where it taunted me at the end of where it should put in the last block ""Should I place it here or here?"". ",1,
2017-12-15 12:25:31,2017-12-15 12:44:02,0,128.62.62.93,100,1110,1,2017-12-15 12:44:02,R_1QgqOQiCpSV76QC,,,,,30.296096801758,-97.73690032959,anonymous,EN,6,7,4,6,4,6,7,5,6,6,6,3,7,3,7,6,7,7,7,7,2,7,2,The robot was playing tic-tac-toe with me.,2,
